msgid,msgstr
中文简体,中文 简体
English,Inglés
Traditional Chinese,Chino tradicional
Contact us,Contáctenos
Email,Email
Phone,Teléfono
Address,Habla a
"457 BIgBlue Street, Suite 4A<br>New York, NY 10013","457 BigBlue Street, Suite 4A <br> Nueva York, NY 10013"
Returning your order?,Volviendo a su fin?
Click Here!,?Haga clic aquí!
From the blog,Desde el blog
Information,Información
Popular,Popular
WIGS,WIGS
Human Hair,Cabello humano
Synthetic,Sintético
Lace Front,frente del cordón
Brands,marcas
News,Noticias
Photos & Reviews,Fotos y Comentarios
Care,Cuidado
Contact,Contacto
about,acerca de
Buy now!,?Compra ahora!
Login,Iniciar sesión
Register,Registrarse
Log in,Iniciar sesión
Sign In,Registrarse
Chose One of the Following Methods.,Eligió uno de los métodos siguientes.
With Facebook,con Facebook
With Google +,Con Google +
Or,O
Sign in Using Your Email Address,Inicie sesión con su dirección de correo electrónico
Username or email,Nombre de usuario o correo electrónico
Password,Contrase?a
Remember me,Recuérdame
Forgot Password?,?Se te olvidó tu contrase?a?
Don't have an account?,?No tienes una cuenta?
Sign up Now,Regístrate ahora
Sign Up For Free,Registrate gratis
Your Name,Tu nombre
Your Email Address,Tu correo electrónico
Your Company Name,El nombre de tu compa?ía
Enter Your Password,Ingresa tu contrase?a
Retype Your Password,Reescribe tu contrase?a
Your Password at Global Crypto are encrypted and Secured,Su contrase?a de Global Crypto están cifradas y protegidas
Sign Up,Regístrate
Custom Pages,páginas personalizadas
Latest Post,?ltima publicación
Subscribe,Suscribir
Page,Página
Not Found,Extraviado
"Sorry, but the page you are looking for has note been found. Try checking the URL for error, then hit the refresh button on your browser or try found something else in our app.","Lo sentimos, pero la página que busca ha encontrado nota. Intente comprobar la dirección URL para el error, después haga clic en el botón de actualización de su navegador o tratar encontrado algo más en nuestra aplicación."
Contact Info,Datos de contacto
Email Address,Dirección de correo electrónico
Phone Number,Número de teléfono
Support,Apoyo
Sales,Ventas
Feedback,Realimentación
Name,Nombre
Website,Sitio web
Submit,Enviar
Follow Me!,?Sígueme!
Sign Up for Our <em>Newsletter</em>,Suscríbase a nuestro <em> Boletín </ em>
Subscribe now to get notified about exclusive offers<br> from The .... every week!,Suscríbase ahora para ser notificado sobre ofertas exclusivas En venta El .... todas las semanas!
Your email address,Tu correo electrónico
<strong>Trending</strong> Now,<strong> Tendencia </ strong> Ahora
page,página
Home,Hogar
Close search form,Cerrar el formulario de búsqueda
Search and hit enter...,Buscar y pulsa enter ...
Hit enter to search or ESC to close,Pulse Enter para buscar o ESC para cerrar
May We Suggest?,Podemos sugerir?
Is It This?,?Es esto?
"Needle, Where Art Thou?","Aguja, ?dónde estás?"
Messages,mensajes
Site Maps,Mapas del sitio
Static Files,Los archivos estáticos
Syndication,Sindicación
That page number is not an integer,Ese número de página no es un entero
That page number is less than 1,Ese número de página es menor que 1
That page contains no results,Esa página no contiene resultados
Enter a valid value.,Introduce un valor valido.
Enter a valid URL.,Introducir una URL válida.
Enter a valid integer.,Introduzca un número entero válido.
Enter a valid email address.,Introduzca una dirección de correo electrónico válida.
"Enter a valid 'slug' consisting of letters, numbers, underscores or hyphens.","Introduzca una 'bala' válido que consta de letras, números, guiones o guiones."
"Enter a valid 'slug' consisting of Unicode letters, numbers, underscores, or hyphens.","Introduzca una 'bala' válido que consta de letras, números de Unicode, guiones o guiones."
Enter a valid IPv4 address.,Introduzca una dirección IPv4 válida.
Enter a valid IPv6 address.,Introduzca una dirección IPv6 válida.
Enter a valid IPv4 or IPv6 address.,Introduzca una dirección IPv4 o IPv6 válida.
Enter only digits separated by commas.,Sólo introducir dígitos separados por comas.
Ensure this value is %(limit_value)s (it is %(show_value)s).,Asegúrese de que este valor es% (limit_value) s (es% (show_value) s).
Ensure this value is less than or equal to %(limit_value)s.,Asegúrese de este valor es menor que o igual a% (limit_value) s.
Ensure this value is greater than or equal to %(limit_value)s.,Asegúrese de este valor es mayor que o igual a% (limit_value) s.
Ensure this value has at least %(limit_value)d character (it has %(show_value)d).,Asegúrese de que este valor tiene al menos d carácter% (limit_value) (que tiene (show_value) d%).
Ensure this value has at most %(limit_value)d character (it has %(show_value)d).,Asegúrese de que este valor tiene a lo sumo d carácter% (limit_value) (que tiene (show_value) d%).
Enter a number.,Ingrese un numero.
Ensure that there are no more than %(max)s digit in total.,Asegúrese de que no hay más que% dígitos (max) s en total.
Ensure that there are no more than %(max)s decimal place.,Asegúrese de que no hay más de% son (max) s decimal.
Ensure that there are no more than %(max)s digit before the decimal point.,Asegúrese de que no hay más que% (max) s dígitos antes del punto decimal.
File extension '%(extension)s' is not allowed. Allowed extensions are: '%(allowed_extensions)s'.,No se permite la extensión de archivo '% (extensión) s'. extensiones permitidas son: '% (allowed_extensions) s'.
Null characters are not allowed.,caracteres nulos no están permitidos.
and,y
%(model_name)s with this %(field_labels)s already exists.,"=IFERROR(__xludf.DUMMYFUNCTION(""GoogleTranslate(A106, """"en"""", """"es"""")""),""% (Nombre_del_modelo) s con este% (field_labels) s ya existe."")"
Value %(value)r is not a valid choice.,Valor% (valor) r no es una opción válida.
This field cannot be null.,Este campo no puede ser nulo.
This field cannot be blank.,Este campo no puede estar vacío.
%(model_name)s with this %(field_label)s already exists.,% (Nombre_del_modelo) s con este% (field_label) s ya existe.
%(field_label)s must be unique for %(date_field_label)s %(lookup_type)s.,% (Field_label) s debe ser único para% (date_field_label) s% (lookup_type) s.
Field of type: %(field_type)s,Campo de tipo:% (field_type) s
Integer,Entero
'%(value)s' value must be an integer.,'% (Valor) s' valor debe ser un entero.
Big (8 byte) integer,Grande (8 byte) número entero
'%(value)s' value must be either True or False.,'% (Valor) s' valor debe ser verdadero o falso.
"'%(value)s' value must be either True, False, or None.","'% (Valor) s' valor debe ser verdadera, falsa o Ninguno."
Boolean (Either True or False),Booleano (verdadero o falso)
String (up to %(max_length)s),String (hasta% (max_length) s)
Comma-separated integers,enteros separados por comas
'%(value)s' value has an invalid date format. It must be in YYYY-MM-DD format.,'% (Valor) s' tiene un valor de formato de fecha no válida. Debe estar en formato AAAA-MM-DD.
'%(value)s' value has the correct format (YYYY-MM-DD) but it is an invalid date.,"'% (Valor) s' valor tiene el formato correcto (AAAA-MM-DD), pero es una fecha no válida."
Date (without time),Fecha (sin tiempo)
'%(value)s' value has an invalid format. It must be in YYYY-MM-DD HH:MM[:ss[.uuuuuu]][TZ] format.,'% (Valor) s' valor tiene un formato no válido. Debe estar en AAAA-MM-DD HH: MM [: ss [] .uuuuuu] formato [TZ].
'%(value)s' value has the correct format (YYYY-MM-DD HH:MM[:ss[.uuuuuu]][TZ]) but it is an invalid date/time.,"'% (Valor) s' valor tiene el formato correcto (AAAA-MM-DD HH: MM [: ss [.uuuuuu]] [TZ]), pero es una fecha / hora no válida."
Date (with time),Fecha (con el tiempo)
'%(value)s' value must be a decimal number.,'% (Valor) s' valor debe ser un número decimal.
Decimal number,Número decimal
'%(value)s' value has an invalid format. It must be in [DD] [HH:[MM:]]ss[.uuuuuu] format.,'% (Valor) s' valor tiene un formato no válido. Debe estar en [DD] [HH: [MM:]] ss formato [.uuuuuu].
Duration,Duración
Email address,Dirección de correo electrónico
File path,Ruta de archivo
'%(value)s' value must be a float.,'% (Valor) s' valor debe ser un flotador.
Floating point number,número de punto flotante
IPv4 address,dirección IPv4
IP address,dirección IP
"'%(value)s' value must be either None, True or False.","'% (Valor) s' valor debe ser Ninguno, Verdadero o Falso."
